claim_id,policy_id,claimant_id,repair_shop_id,policy_start_date,incident_date,claim_report_date,claim_type,damage_area,estimated_repair_cost,incident_city,prior_claims_12m,linked_claims_same_phone,linked_claims_same_repair_shop,claimant_narrative,adjuster_note,fraud_pattern_type,is_suspicious
CLM-00887,POL-6243,CUST-8941,SHOP-019,2025-09-11,2026-02-25,2026-02-26,vandalism,rear,4247,Gatineau,4,20,58,I found damage on the rear of my vehicle while parked in Gatineau.,Repeated entity pattern detected across recent claims.,repeated_entity,1
CLM-00342,POL-1807,CUST-9980,SHOP-013,2024-09-25,2025-01-20,2025-01-23,vandalism,right side,2034,Laval,1,0,2,My parked car was vandalized in Laval and the right side was damaged.,Observed damage aligns with reported incident details.,normal,0
CLM-00113,POL-6692,CUST-2063,SHOP-018,2025-07-09,2025-10-21,2025-10-23,collision,rear,3280,Gatineau,0,0,2,I was driving in Gatineau when another vehicle hit the rear of my car.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00030,POL-3414,CUST-1400,SHOP-002,2024-09-07,2026-02-05,2026-02-09,collision,right side,3197,Sherbrooke,0,0,2,Another driver struck my vehicle on the right side while I was driving in Sherbrooke.,Claim details and visible damage are coherent.,normal,0
CLM-00507,POL-4738,CUST-3260,SHOP-026,2025-03-15,2025-11-11,2025-11-14,theft,left side,5243,Quebec City,0,0,2,My car was stolen in Quebec City and later found with damage.,Claim details and visible damage are coherent.,normal,0
CLM-00860,POL-7076,CUST-8177,SHOP-019,2024-05-26,2025-09-20,2025-09-24,collision,rear,2661,Sherbrooke,3,21,58,I was driving in Sherbrooke when another vehicle hit the rear of my car.,Claim linked to multiple prior files sharing the same contact number and repair shop.,repeated_entity,1
CLM-00925,POL-1377,CUST-9868,SHOP-003,2024-10-05,2025-02-17,2025-02-22,theft,right side,11468,Gatineau,3,15,73,I discovered my vehicle missing in Gatineau and reported it immediately.,Claim linked to multiple prior files sharing the same contact number and repair shop.,repeated_entity,1
CLM-00517,POL-1458,CUST-3340,SHOP-005,2025-08-26,2026-01-10,2026-01-10,theft,left side,6766,Laval,1,0,2,My car was stolen in Laval and later found with damage.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00529,POL-5282,CUST-8417,SHOP-009,2024-09-08,2025-09-02,2025-09-04,collision,right side,3955,Longueuil,0,0,2,Another driver struck my vehicle on the right side while I was driving in Longueuil.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00131,POL-4310,CUST-9824,SHOP-009,2025-07-29,2026-02-22,2026-02-24,collision,front,4321,Sherbrooke,0,0,2,I was driving in Sherbrooke when another vehicle hit the front of my car.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00186,POL-8230,CUST-8479,SHOP-001,2025-03-14,2025-07-25,2025-07-30,collision,left side,2151,Longueuil,0,1,2,Another driver struck my vehicle on the left side while I was driving in Longueuil.,Observed damage aligns with reported incident details.,normal,0
CLM-00078,POL-4522,CUST-8046,SHOP-015,2024-08-21,2025-11-17,2025-11-19,theft,right side,8407,Sherbrooke,0,0,2,I discovered my vehicle missing in Sherbrooke and reported it immediately.,Observed damage aligns with reported incident details.,normal,0
CLM-00928,POL-1594,CUST-7249,SHOP-003,2024-02-19,2024-11-09,2024-11-09,vandalism,rear,2178,Gatineau,3,21,73,I found damage on the rear of my vehicle while parked in Gatineau.,Claim linked to multiple prior files sharing the same contact number and repair shop.,repeated_entity,1
CLM-00973,POL-9153,CUST-1023,SHOP-004,2025-02-19,2026-01-17,2026-01-18,vandalism,left side,2025,Gatineau,0,0,43,Another vehicle struck me on the left side in Gatineau.,Inspection found primary damage on the front. Damage pattern does not match the claimant statement.,narrative_inconsistency,1
CLM-00063,POL-7141,CUST-8056,SHOP-005,2024-09-07,2025-12-02,2025-12-06,vandalism,rear,2496,Laval,0,0,2,I found damage on the rear of my vehicle while parked in Laval.,Claim details and visible damage are coherent.,normal,0
CLM-00309,POL-5581,CUST-8384,SHOP-006,2025-08-08,2025-10-10,2025-10-14,vandalism,rear,2209,Sherbrooke,1,0,2,My parked car was vandalized in Sherbrooke and the rear was damaged.,Claim details and visible damage are coherent.,normal,0
CLM-00026,POL-8119,CUST-6663,SHOP-024,2024-11-17,2025-07-28,2025-08-01,vandalism,front,3377,Gatineau,0,1,2,I found damage on the front of my vehicle while parked in Gatineau.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00162,POL-6909,CUST-2745,SHOP-003,2024-01-06,2024-12-16,2024-12-19,theft,left side,5837,Laval,0,0,2,My car was stolen in Laval and later found with damage.,Observed damage aligns with reported incident details.,normal,0
CLM-00879,POL-6639,CUST-1989,SHOP-019,2025-03-16,2025-05-25,2025-05-30,vandalism,right side,1549,Sherbrooke,4,20,58,I found damage on the right side of my vehicle while parked in Sherbrooke.,Repeated entity pattern detected across recent claims.,repeated_entity,1
CLM-00915,POL-7774,CUST-6926,SHOP-003,2024-09-25,2025-12-15,2025-12-15,theft,front,7625,Quebec City,4,15,73,My car was stolen in Quebec City and later found with damage.,Repeated entity pattern detected across recent claims.,repeated_entity,1
CLM-00771,POL-7337,CUST-8875,SHOP-002,2024-09-24,2025-12-29,2025-12-30,collision,right side,9317,Montreal,1,0,21,I was driving in Montreal when another vehicle hit the right side of my car.,"Observed damage appears moderate, but submitted estimate is unusually high.",inflated_repair,1
CLM-00328,POL-4812,CUST-6189,SHOP-018,2025-10-22,2026-02-25,2026-02-27,theft,rear,5174,Sherbrooke,1,0,2,I discovered my vehicle missing in Sherbrooke and reported it immediately.,Claim details and visible damage are coherent.,normal,0
CLM-00789,POL-1112,CUST-1529,SHOP-022,2025-11-24,2026-02-14,2026-02-18,theft,right side,11938,Quebec City,1,0,23,My car was stolen in Quebec City and later found with damage.,Repair estimate is significantly above expected range for the reported damage.,inflated_repair,1
CLM-00818,POL-3297,CUST-8697,SHOP-025,2024-02-09,2024-05-11,2024-05-15,collision,left side,10990,Gatineau,1,0,28,I was driving in Gatineau when another vehicle hit the left side of my car.,Repair estimate is significantly above expected range for the reported damage.,inflated_repair,1
CLM-00327,POL-7084,CUST-2466,SHOP-008,2024-06-10,2025-12-03,2025-12-03,vandalism,left side,1745,Montreal,1,0,2,My parked car was vandalized in Montreal and the left side was damaged.,Claim details and visible damage are coherent.,normal,0
CLM-00251,POL-6123,CUST-7979,SHOP-024,2024-04-28,2024-09-02,2024-09-02,collision,rear,4450,Laval,1,1,2,I lost control briefly and damaged the rear of my vehicle in Laval.,Observed damage aligns with reported incident details.,normal,0
CLM-00102,POL-2821,CUST-5720,SHOP-008,2024-11-04,2025-02-04,2025-02-04,collision,right side,3372,Montreal,0,0,2,I lost control briefly and damaged the right side of my vehicle in Montreal.,Claim details and visible damage are coherent.,normal,0
CLM-00760,POL-7214,CUST-5703,SHOP-006,2024-10-12,2025-01-21,2025-01-25,theft,right side,8757,Laval,1,0,35,My car was stolen in Laval and later found with damage.,"Observed damage appears moderate, but submitted estimate is unusually high.",inflated_repair,1
CLM-00648,POL-6830,CUST-3122,SHOP-023,2025-11-21,2025-11-25,2025-11-29,theft,front,7645,Laval,0,0,27,I discovered my vehicle missing in Laval and reported it immediately.,Claim filed shortly after policy inception. Damage appears less severe than estimated cost suggests.,early_policy,1
CLM-00470,POL-3374,CUST-6947,SHOP-016,2025-01-11,2025-07-17,2025-07-17,vandalism,front,2023,Sherbrooke,0,0,2,I found damage on the front of my vehicle while parked in Sherbrooke.,Claim details and visible damage are coherent.,normal,0
CLM-00598,POL-9775,CUST-4110,SHOP-028,2025-02-01,2025-10-05,2025-10-07,theft,rear,9257,Sherbrooke,0,0,2,My car was stolen in Sherbrooke and later found with damage.,Observed damage aligns with reported incident details.,normal,0
CLM-00152,POL-5026,CUST-9180,SHOP-018,2025-11-01,2026-02-26,2026-02-28,theft,right side,10927,Sherbrooke,1,0,2,I discovered my vehicle missing in Sherbrooke and reported it immediately.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00035,POL-7389,CUST-7865,SHOP-018,2025-07-13,2026-03-04,2026-03-08,collision,right side,2398,Longueuil,1,0,2,I lost control briefly and damaged the right side of my vehicle in Longueuil.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00062,POL-4846,CUST-5708,SHOP-008,2024-04-02,2025-07-20,2025-07-20,vandalism,front,3617,Laval,1,0,2,My parked car was vandalized in Laval and the front was damaged.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00514,POL-8802,CUST-4519,SHOP-015,2024-03-20,2025-05-02,2025-05-07,vandalism,right side,3909,Gatineau,1,0,2,I found damage on the right side of my vehicle while parked in Gatineau.,Claim details and visible damage are coherent.,normal,0
CLM-00214,POL-6435,CUST-4300,SHOP-026,2024-05-13,2025-05-26,2025-05-31,collision,left side,1743,Montreal,0,0,2,Another driver struck my vehicle on the left side while I was driving in Montreal.,Claim details and visible damage are coherent.,normal,0
CLM-00952,POL-1554,CUST-6967,SHOP-006,2025-02-04,2025-06-12,2025-06-14,collision,front,1928,Longueuil,1,0,35,Another vehicle struck me on the front in Longueuil.,Inspection found primary damage on the rear. Damage pattern does not match the claimant statement.,narrative_inconsistency,1
CLM-00897,POL-1819,CUST-1183,SHOP-019,2024-01-01,2024-12-06,2024-12-09,theft,rear,5796,Montreal,4,21,58,My car was stolen in Montreal and later found with damage.,Claim linked to multiple prior files sharing the same contact number and repair shop.,repeated_entity,1
CLM-00143,POL-1056,CUST-1372,SHOP-010,2025-04-19,2026-02-21,2026-02-24,vandalism,right side,2440,Laval,1,0,2,I found damage on the right side of my vehicle while parked in Laval.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00694,POL-5997,CUST-2402,SHOP-010,2025-08-03,2025-08-10,2025-08-14,vandalism,rear,10821,Quebec City,0,0,39,My parked car was vandalized in Quebec City and the rear was damaged.,Limited visible damage. Estimate appears elevated given observed condition.,early_policy,1
CLM-00851,POL-3898,CUST-8220,SHOP-019,2024-06-30,2025-12-31,2026-01-01,theft,front,10096,Montreal,2,18,58,I discovered my vehicle missing in Montreal and reported it immediately.,Repeated entity pattern detected across recent claims.,repeated_entity,1
CLM-00003,POL-7201,CUST-2291,SHOP-018,2024-10-27,2026-01-24,2026-01-29,vandalism,left side,3864,Laval,0,0,2,My parked car was vandalized in Laval and the left side was damaged.,Claim details and visible damage are coherent.,normal,0
CLM-00212,POL-5366,CUST-9743,SHOP-027,2024-02-27,2024-11-07,2024-11-11,theft,left side,11874,Laval,0,0,2,My car was stolen in Laval and later found with damage.,Claim details and visible damage are coherent.,normal,0
CLM-00905,POL-5962,CUST-4428,SHOP-003,2025-10-15,2025-12-08,2025-12-09,collision,front,1927,Longueuil,3,20,73,I was driving in Longueuil when another vehicle hit the front of my car.,Repeated entity pattern detected across recent claims.,repeated_entity,1
CLM-00599,POL-3370,CUST-5863,SHOP-027,2024-08-12,2026-02-04,2026-02-09,theft,rear,9927,Longueuil,0,1,2,My car was stolen in Longueuil and later found with damage.,Claim details and visible damage are coherent.,normal,0
CLM-00227,POL-2425,CUST-7358,SHOP-018,2025-02-10,2025-12-19,2025-12-21,theft,right side,5101,Sherbrooke,1,0,2,My car was stolen in Sherbrooke and later found with damage.,Observed damage aligns with reported incident details.,normal,0
CLM-00333,POL-4616,CUST-2161,SHOP-001,2024-08-01,2026-01-16,2026-01-16,theft,front,7956,Gatineau,1,0,2,I discovered my vehicle missing in Gatineau and reported it immediately.,Claim details and visible damage are coherent.,normal,0
CLM-00071,POL-7367,CUST-8432,SHOP-012,2025-11-17,2026-03-22,2026-03-27,vandalism,right side,3905,Sherbrooke,0,0,2,I found damage on the right side of my vehicle while parked in Sherbrooke.,Claim details and visible damage are coherent.,normal,0
CLM-00249,POL-3627,CUST-1645,SHOP-018,2025-05-23,2025-10-06,2025-10-11,theft,left side,6921,Montreal,0,0,2,My car was stolen in Montreal and later found with damage.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00747,POL-8134,CUST-5820,SHOP-024,2025-11-23,2025-12-02,2025-12-06,theft,left side,8725,Sherbrooke,0,0,24,My car was stolen in Sherbrooke and later found with damage.,Limited visible damage. Estimate appears elevated given observed condition.,early_policy,1
CLM-00107,POL-1783,CUST-6438,SHOP-009,2024-05-07,2025-06-17,2025-06-20,theft,right side,8167,Longueuil,0,0,2,I discovered my vehicle missing in Longueuil and reported it immediately.,Claim details and visible damage are coherent.,normal,0
CLM-00098,POL-6070,CUST-8684,SHOP-029,2024-07-17,2025-08-27,2025-09-01,vandalism,right side,3391,Longueuil,1,0,2,I found damage on the right side of my vehicle while parked in Longueuil.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00675,POL-8565,CUST-5659,SHOP-005,2025-02-16,2025-02-23,2025-02-26,vandalism,front,10279,Sherbrooke,0,0,35,My parked car was vandalized in Sherbrooke and the front was damaged.,Claim filed shortly after policy inception. Damage appears less severe than estimated cost suggests.,early_policy,1
CLM-00745,POL-1091,CUST-5393,SHOP-023,2024-08-02,2024-08-10,2024-08-11,theft,left side,10077,Laval,1,0,27,I discovered my vehicle missing in Laval and reported it immediately.,Claim filed shortly after policy inception. Damage appears less severe than estimated cost suggests.,early_policy,1
CLM-00992,POL-1802,CUST-6999,SHOP-014,2024-06-23,2024-07-03,2024-07-07,vandalism,front,9497,Sherbrooke,3,15,56,I was hit on the front while driving in Sherbrooke.,"Claim reported shortly after policy start. Estimate is unusually high. Observed damage on the left side, inconsistent with claimant statement. Repair shop is linked to several flagged claims.",mixed,1
CLM-00492,POL-5073,CUST-9570,SHOP-014,2024-10-29,2025-09-15,2025-09-15,vandalism,front,1984,Gatineau,0,1,2,I found damage on the front of my vehicle while parked in Gatineau.,Observed damage aligns with reported incident details.,normal,0
CLM-00798,POL-1997,CUST-4403,SHOP-008,2024-09-06,2026-02-06,2026-02-09,collision,front,9617,Sherbrooke,0,0,29,I was driving in Sherbrooke when another vehicle hit the front of my car.,Repair estimate is significantly above expected range for the reported damage.,inflated_repair,1
CLM-00410,POL-8978,CUST-2322,SHOP-001,2024-01-08,2024-08-08,2024-08-08,vandalism,left side,3204,Sherbrooke,1,0,2,My parked car was vandalized in Sherbrooke and the left side was damaged.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00484,POL-3679,CUST-8653,SHOP-014,2024-04-28,2025-10-16,2025-10-16,theft,left side,10808,Gatineau,1,0,2,I discovered my vehicle missing in Gatineau and reported it immediately.,Observed damage aligns with reported incident details.,normal,0
CLM-00080,POL-6793,CUST-7929,SHOP-028,2024-02-22,2025-01-11,2025-01-15,theft,left side,5848,Gatineau,0,0,2,My car was stolen in Gatineau and later found with damage.,Claim details and visible damage are coherent.,normal,0
CLM-00752,POL-7181,CUST-7316,SHOP-023,2025-04-30,2025-11-27,2025-11-29,vandalism,left side,12014,Montreal,0,0,27,My parked car was vandalized in Montreal and the left side was damaged.,"Observed damage appears moderate, but submitted estimate is unusually high.",inflated_repair,1
CLM-00870,POL-8693,CUST-5607,SHOP-014,2024-09-12,2025-02-05,2025-02-10,collision,right side,1897,Montreal,3,15,56,I lost control briefly and damaged the right side of my vehicle in Montreal.,Claim linked to multiple prior files sharing the same contact number and repair shop.,repeated_entity,1
CLM-00795,POL-1233,CUST-2060,SHOP-011,2024-08-18,2025-07-30,2025-07-31,collision,rear,14881,Gatineau,0,0,28,Another driver struck my vehicle on the rear while I was driving in Gatineau.,Repair estimate is significantly above expected range for the reported damage.,inflated_repair,1
CLM-00493,POL-5175,CUST-2339,SHOP-025,2025-05-30,2025-07-07,2025-07-07,vandalism,right side,2235,Laval,1,0,2,My parked car was vandalized in Laval and the right side was damaged.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00792,POL-5225,CUST-5510,SHOP-020,2024-02-06,2024-07-28,2024-07-29,vandalism,left side,11893,Laval,1,0,36,I found damage on the left side of my vehicle while parked in Laval.,"Observed damage appears moderate, but submitted estimate is unusually high.",inflated_repair,1
CLM-00894,POL-7132,CUST-9370,SHOP-014,2024-06-12,2025-02-03,2025-02-07,theft,left side,6603,Longueuil,4,20,56,I discovered my vehicle missing in Longueuil and reported it immediately.,Repeated entity pattern detected across recent claims.,repeated_entity,1
CLM-00650,POL-2228,CUST-3496,SHOP-019,2025-10-04,2025-10-08,2025-10-09,collision,rear,9294,Gatineau,0,0,58,I lost control briefly and damaged the rear of my vehicle in Gatineau.,Limited visible damage. Estimate appears elevated given observed condition.,early_policy,1
CLM-00300,POL-2477,CUST-5661,SHOP-024,2025-07-26,2026-01-21,2026-01-23,theft,left side,6853,Gatineau,0,0,2,I discovered my vehicle missing in Gatineau and reported it immediately.,Observed damage aligns with reported incident details.,normal,0
CLM-00740,POL-9216,CUST-7519,SHOP-026,2025-05-11,2025-05-15,2025-05-18,theft,left side,7695,Laval,0,0,32,My car was stolen in Laval and later found with damage.,Claim filed shortly after policy inception. Damage appears less severe than estimated cost suggests.,early_policy,1
CLM-00570,POL-7138,CUST-4908,SHOP-007,2024-04-03,2024-05-19,2024-05-22,collision,front,3180,Laval,0,0,2,I was driving in Laval when another vehicle hit the front of my car.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
