claim_id,policy_id,claimant_id,repair_shop_id,policy_start_date,incident_date,claim_report_date,claim_type,damage_area,estimated_repair_cost,incident_city,prior_claims_12m,linked_claims_same_phone,linked_claims_same_repair_shop,claimant_narrative,adjuster_note,fraud_pattern_type,is_suspicious,days_since_policy_start,reporting_delay_days,repair_cost_band,adjuster_suspicious_keyword_hits,rule_score,rule_hits,rule_score_normalized,anomaly_prediction,anomaly_decision_score,anomaly_score_raw,anomaly_score_normalized,final_score,risk_level,review_decision
CLM-00887,POL-6243,CUST-8941,SHOP-019,2025-09-11,2026-02-25,2026-02-26,vandalism,rear,4247,Gatineau,4,20,58,I found damage on the rear of my vehicle while parked in Gatineau.,Repeated entity pattern detected across recent claims.,repeated_entity,1,167,1,medium,0,6,"[""multiple prior claims in the last 12 months"", ""same phone number linked to multiple claims"", ""repair shop linked to multiple claims""]",31.57894736842105,-1,-0.03920067601245891,0.03920067601245891,73.57768894225511,48.378443997954676,medium,review_with_slm
CLM-00342,POL-1807,CUST-9980,SHOP-013,2024-09-25,2025-01-20,2025-01-23,vandalism,right side,2034,Laval,1,0,2,My parked car was vandalized in Laval and the right side was damaged.,Observed damage aligns with reported incident details.,normal,0,117,3,low,0,0,[],0.0,1,0.1489442964209478,-0.1489442964209478,5.393450469064283,2.1573801876257135,low,approve_or_fast_track
CLM-00113,POL-6692,CUST-2063,SHOP-018,2025-07-09,2025-10-21,2025-10-23,collision,rear,3280,Gatineau,0,0,2,I was driving in Gatineau when another vehicle hit the rear of my car.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0,104,2,medium,0,0,[],0.0,1,0.1607066293031717,-0.1607066293031717,1.1307497448848207,0.45229989795392833,low,approve_or_fast_track
CLM-00030,POL-3414,CUST-1400,SHOP-002,2024-09-07,2026-02-05,2026-02-09,collision,right side,3197,Sherbrooke,0,0,2,Another driver struck my vehicle on the right side while I was driving in Sherbrooke.,Claim details and visible damage are coherent.,normal,0,516,4,medium,0,0,[],0.0,1,0.11412310481071647,-0.11412310481071647,18.012742932555675,7.205097173022271,low,approve_or_fast_track
CLM-00507,POL-4738,CUST-3260,SHOP-026,2025-03-15,2025-11-11,2025-11-14,theft,left side,5243,Quebec City,0,0,2,My car was stolen in Quebec City and later found with damage.,Claim details and visible damage are coherent.,normal,0,241,3,high,0,0,[],0.0,1,0.14649690172890817,-0.14649690172890817,6.280392815499379,2.5121571261997517,low,approve_or_fast_track
CLM-00860,POL-7076,CUST-8177,SHOP-019,2024-05-26,2025-09-20,2025-09-24,collision,rear,2661,Sherbrooke,3,21,58,I was driving in Sherbrooke when another vehicle hit the rear of my car.,Claim linked to multiple prior files sharing the same contact number and repair shop.,repeated_entity,1,482,4,medium,1,8,"[""multiple prior claims in the last 12 months"", ""same phone number linked to multiple claims"", ""repair shop linked to multiple claims"", ""adjuster note contains suspicious language""]",42.10526315789473,-1,-0.05145020930424771,0.05145020930424771,78.01695239080802,56.46993885106005,medium,review_with_slm
CLM-00925,POL-1377,CUST-9868,SHOP-003,2024-10-05,2025-02-17,2025-02-22,theft,right side,11468,Gatineau,3,15,73,I discovered my vehicle missing in Gatineau and reported it immediately.,Claim linked to multiple prior files sharing the same contact number and repair shop.,repeated_entity,1,135,5,very_high,1,11,"[""repair estimate above normal threshold"", ""multiple prior claims in the last 12 months"", ""same phone number linked to multiple claims"", ""repair shop linked to multiple claims"", ""adjuster note contains suspicious language"", ""single-area damage with unusually high repair cost""]",57.89473684210527,-1,-0.08364204393165942,0.08364204393165942,89.68335888966817,70.61018566113043,high,priority_investigation
CLM-00517,POL-1458,CUST-3340,SHOP-005,2025-08-26,2026-01-10,2026-01-10,theft,left side,6766,Laval,1,0,2,My car was stolen in Laval and later found with damage.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0,137,0,high,0,1,"[""brief theft narrative with limited detail""]",5.263157894736842,1,0.12122749301788316,-0.12122749301788316,15.438093748692777,9.333132236319216,low,approve_or_fast_track
CLM-00529,POL-5282,CUST-8417,SHOP-009,2024-09-08,2025-09-02,2025-09-04,collision,right side,3955,Longueuil,0,0,2,Another driver struck my vehicle on the right side while I was driving in Longueuil.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0,359,2,medium,0,0,[],0.0,1,0.14472246089716861,-0.14472246089716861,6.923454892912691,2.7693819571650766,low,approve_or_fast_track
CLM-00131,POL-4310,CUST-9824,SHOP-009,2025-07-29,2026-02-22,2026-02-24,collision,front,4321,Sherbrooke,0,0,2,I was driving in Sherbrooke when another vehicle hit the front of my car.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0,208,2,medium,0,0,[],0.0,1,0.1529993591846039,-0.1529993591846039,3.923884937097992,1.569553974839197,low,approve_or_fast_track
