claim_id,policy_id,claimant_id,repair_shop_id,policy_start_date,incident_date,claim_report_date,claim_type,damage_area,estimated_repair_cost,incident_city,prior_claims_12m,linked_claims_same_phone,linked_claims_same_repair_shop,claimant_narrative,adjuster_note,fraud_pattern_type,is_suspicious,days_since_policy_start,reporting_delay_days,repair_cost_band,adjuster_suspicious_keyword_hits,rule_score,rule_hits,rule_score_normalized,anomaly_prediction,anomaly_decision_score,anomaly_score_raw,anomaly_score_normalized,final_score,risk_level,review_decision
CLM-00887,POL-6243,CUST-8941,SHOP-019,2025-09-11,2026-02-25,2026-02-26,vandalism,rear,4247,Gatineau,4,20,58,I found damage on the rear of my vehicle while parked in Gatineau.,Repeated entity pattern detected across recent claims.,repeated_entity,1,167,1,medium,0,6,"[""multiple prior claims in the last 12 months"", ""same phone number linked to multiple claims"", ""repair shop linked to multiple claims""]",31.57894736842105,-1,-0.03920067601245891,0.03920067601245891,73.57768894225511,48.378443997954676,medium,review_with_slm
CLM-00860,POL-7076,CUST-8177,SHOP-019,2024-05-26,2025-09-20,2025-09-24,collision,rear,2661,Sherbrooke,3,21,58,I was driving in Sherbrooke when another vehicle hit the rear of my car.,Claim linked to multiple prior files sharing the same contact number and repair shop.,repeated_entity,1,482,4,medium,1,8,"[""multiple prior claims in the last 12 months"", ""same phone number linked to multiple claims"", ""repair shop linked to multiple claims"", ""adjuster note contains suspicious language""]",42.10526315789473,-1,-0.05145020930424771,0.05145020930424771,78.01695239080802,56.46993885106005,medium,review_with_slm
CLM-00925,POL-1377,CUST-9868,SHOP-003,2024-10-05,2025-02-17,2025-02-22,theft,right side,11468,Gatineau,3,15,73,I discovered my vehicle missing in Gatineau and reported it immediately.,Claim linked to multiple prior files sharing the same contact number and repair shop.,repeated_entity,1,135,5,very_high,1,11,"[""repair estimate above normal threshold"", ""multiple prior claims in the last 12 months"", ""same phone number linked to multiple claims"", ""repair shop linked to multiple claims"", ""adjuster note contains suspicious language"", ""single-area damage with unusually high repair cost""]",57.89473684210527,-1,-0.08364204393165942,0.08364204393165942,89.68335888966817,70.61018566113043,high,priority_investigation
CLM-00928,POL-1594,CUST-7249,SHOP-003,2024-02-19,2024-11-09,2024-11-09,vandalism,rear,2178,Gatineau,3,21,73,I found damage on the rear of my vehicle while parked in Gatineau.,Claim linked to multiple prior files sharing the same contact number and repair shop.,repeated_entity,1,264,0,low,1,8,"[""multiple prior claims in the last 12 months"", ""same phone number linked to multiple claims"", ""repair shop linked to multiple claims"", ""adjuster note contains suspicious language""]",42.10526315789473,-1,-0.04609811331199787,0.04609811331199787,76.07733856670683,55.69409332141957,medium,review_with_slm
CLM-00973,POL-9153,CUST-1023,SHOP-004,2025-02-19,2026-01-17,2026-01-18,vandalism,left side,2025,Gatineau,0,0,43,Another vehicle struck me on the left side in Gatineau.,Inspection found primary damage on the front. Damage pattern does not match the claimant statement.,narrative_inconsistency,1,332,1,low,1,7,"[""repair shop linked to multiple claims"", ""adjuster note contains suspicious language"", ""narrative inconsistency detected""]",36.84210526315789,1,0.03312359871251869,-0.03312359871251869,47.36717940023753,41.05213491798975,medium,review_with_slm
CLM-00879,POL-6639,CUST-1989,SHOP-019,2025-03-16,2025-05-25,2025-05-30,vandalism,right side,1549,Sherbrooke,4,20,58,I found damage on the right side of my vehicle while parked in Sherbrooke.,Repeated entity pattern detected across recent claims.,repeated_entity,1,70,5,low,0,6,"[""multiple prior claims in the last 12 months"", ""same phone number linked to multiple claims"", ""repair shop linked to multiple claims""]",31.57894736842105,-1,-0.08737001973502945,0.08737001973502945,91.03438723717949,55.361123315924424,medium,review_with_slm
CLM-00915,POL-7774,CUST-6926,SHOP-003,2024-09-25,2025-12-15,2025-12-15,theft,front,7625,Quebec City,4,15,73,My car was stolen in Quebec City and later found with damage.,Repeated entity pattern detected across recent claims.,repeated_entity,1,446,0,high,0,6,"[""multiple prior claims in the last 12 months"", ""same phone number linked to multiple claims"", ""repair shop linked to multiple claims""]",31.57894736842105,-1,-0.10049034544963642,0.10049034544963642,95.7892281760589,57.263059691476194,medium,review_with_slm
CLM-00771,POL-7337,CUST-8875,SHOP-002,2024-09-24,2025-12-29,2025-12-30,collision,right side,9317,Montreal,1,0,21,I was driving in Montreal when another vehicle hit the right side of my car.,"Observed damage appears moderate, but submitted estimate is unusually high.",inflated_repair,1,461,1,very_high,1,6,"[""repair estimate above normal threshold"", ""repair shop linked to multiple claims"", ""adjuster note contains suspicious language""]",31.57894736842105,1,0.06750426861856851,-0.06750426861856851,34.90753317412386,32.910381690702174,medium,review_with_slm
CLM-00952,POL-1554,CUST-6967,SHOP-006,2025-02-04,2025-06-12,2025-06-14,collision,front,1928,Longueuil,1,0,35,Another vehicle struck me on the front in Longueuil.,Inspection found primary damage on the rear. Damage pattern does not match the claimant statement.,narrative_inconsistency,1,128,2,low,1,7,"[""repair shop linked to multiple claims"", ""adjuster note contains suspicious language"", ""narrative inconsistency detected""]",36.84210526315789,1,0.08925920591012254,-0.08925920591012254,27.023486031797717,32.91465757061382,medium,review_with_slm
CLM-00897,POL-1819,CUST-1183,SHOP-019,2024-01-01,2024-12-06,2024-12-09,theft,rear,5796,Montreal,4,21,58,My car was stolen in Montreal and later found with damage.,Claim linked to multiple prior files sharing the same contact number and repair shop.,repeated_entity,1,340,3,high,1,9,"[""multiple prior claims in the last 12 months"", ""same phone number linked to multiple claims"", ""repair shop linked to multiple claims"", ""adjuster note contains suspicious language"", ""brief theft narrative with limited detail""]",47.368421052631575,-1,-0.045652278584092265,0.045652278584092265,75.91576687539892,58.78735938173851,medium,review_with_slm
